cell_id,celltype,x,y
dkicdich-1,11q13 Invasive Tumor Cells,3886.918701171875,3579.72265625
kibgfhbe-1,"CAFs, Invasive Associated",8479.7802734375,1705.099609375
nofjidal-1,Basal-like Structured DCIS Cells,6165.44775390625,4544.43115234375
ammpklje-1,11q13 Invasive Tumor Cells,4237.71044921875,3183.05908203125
ignplhde-1,Endothelial Cells,259.7644958496094,4283.33642578125
icnediko-1,Dendritic Cells,1533.4163818359375,3498.0361328125
agbfcpng-1,CXCL14+ Fibroblasts,3691.34375,5741.712890625
dhkjhobe-1,11q13 Invasive Tumor Cells,3920.565185546875,2878.7236328125
odbplihj-1,"CAFs, DCIS Associated",1418.443115234375,3541.052001953125
beipimnc-1,T Lymphocytes,4864.32666015625,2038.78662109375
kkjlnneb-1,B Cells,8192.4482421875,2353.27490234375
aipipffh-1,Myoepithelial Cells,2381.908203125,3632.902587890625
kionfgfd-1,11q13 Invasive Tumor Cells,8139.03955078125,1570.9488525390625
idbfilfd-1,Pericytes,1573.100830078125,3250.95361328125
bahciagh-1,Basal-like Structured DCIS Cells,3726.091552734375,3500.490966796875
eoakkini-1,Endothelial Cells,5079.1953125,1671.0543212890625
kaickkgm-1,Basal-like Structured DCIS Cells,7597.3525390625,460.9306640625
negeedlm-1,11q13 Invasive Tumor Cells,7231.22119140625,3932.658447265625
gadkbogj-1,11q13 Invasive Tumor Cells,3000.190185546875,333.91619873046875
ifkjgfjf-1,B Cells,795.6470336914062,3297.7294921875
hbccfijl-1,"CAFs, DCIS Associated",3014.85498046875,5427.447265625
cnnkphcl-1,"CAFs, DCIS Associated",298.1526184082031,2493.54150390625
lnjcenik-1,11q13 Invasive Tumor Cells,9014.08203125,3171.009521484375
ipekaeli-1,Endothelial Cells,5599.5224609375,1974.341064453125
abdafbgb-1,Luminal-like Amorphous DCIS Cells,1094.815185546875,3464.802978515625
gibpohnf-1,Dendritic Cells,3703.748046875,3196.727294921875
mmefalci-1,11q13 Invasive Tumor Cells,5788.95068359375,5840.75244140625
nbjphndj-1,11q13 Invasive Tumor Cells,6981.22021484375,3331.683349609375
ihiogmao-1,"CAFs, DCIS Associated",337.8834228515625,3388.765625
hjgofdpc-1,B Cells,2985.82568359375,5655.8740234375
ofmkafee-1,11q13 Invasive Tumor Cells,8628.6689453125,2005.4901123046875
jkpggkmg-1,11q13 Invasive Tumor Cells,5759.85791015625,949.917724609375
gjgbfnoj-1,"CAFs, Invasive Associated",2857.43994140625,2945.139404296875
idnbgppd-1,Myoepithelial Cells,273.9068603515625,5238.357421875
oedjfbae-1,11q13 Invasive Tumor Cells (Mitotic),7094.43603515625,1565.553955078125
mkjibnhn-1,CXCL14+ Fibroblasts,7613.73046875,5900.17626953125
jlahlhni-1,11q13 Invasive Tumor Cells,6040.64208984375,1032.8013916015625
ecmpcebd-1,B Cells,3269.443359375,4151.08447265625
agfhihep-1,Myoepithelial Cells,3451.397705078125,5512.712890625
anndacbe-1,11q13 Invasive Tumor Cells,4822.1083984375,3952.112060546875
lbobonic-1,Basal-like Structured DCIS Cells,9415.9375,865.9765014648438
ghbafbbg-1,Pericytes,3149.15283203125,2938.365966796875
kdoiloae-1,Dendritic Cells,9455.556640625,2445.070068359375
mgjkdfdb-1,11q13 Invasive Tumor Cells,9192.890625,4366.49267578125
fmnihole-1,"CAFs, DCIS Associated",4269.10498046875,1739.47607421875
dccdjpel-1,Luminal-like Amorphous DCIS Cells,1202.8006591796875,2100.44873046875
eckikech-1,11q13 Invasive Tumor Cells,3170.016845703125,4175.5458984375
belhneie-1,11q13 Invasive Tumor Cells,6036.13330078125,2107.445556640625
apkobimd-1,11q13 Invasive Tumor Cells,3761.62890625,4121.470703125
bhbpibjl-1,11q13 Invasive Tumor Cells (Mitotic),6705.1435546875,1564.5162353515625
ohmhcnio-1,11q13 Invasive Tumor Cells,6131.02392578125,2815.144287109375
dbebhnjf-1,Pericytes,2055.693359375,3136.37646484375
alpkpiod-1,11q13 Invasive Tumor Cells,4505.84130859375,4270.59521484375
lpbfpjnd-1,11q13 Invasive Tumor Cells,9183.39453125,3145.778564453125
edkehefd-1,Basal-like Structured DCIS Cells,3279.453125,4309.0712890625
egebclan-1,11q13 Invasive Tumor Cells,3454.21435546875,3908.746826171875
