example_gene,point_type,celltype,target_celltype,x,y,center_x,center_y
CCND1,uRNA,,11q13 Invasive Tumor Cells,9273.34375,2995.515625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9445.75,2356.765625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9568.46875,2769.265625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9756.78125,2996.0,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9141.140625,2862.296875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9487.296875,2607.421875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9169.984375,3118.28125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9126.890625,2917.03125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9720.0625,2506.34375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9639.09375,2510.578125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9724.421875,2280.078125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9699.859375,2747.0625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9534.03125,3121.109375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9820.328125,2827.40625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9556.34375,2891.546875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9650.796875,2287.640625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9653.9375,3031.46875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9658.703125,2702.703125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9670.265625,3062.25,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9095.90625,3096.46875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9298.828125,3051.1875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9546.96875,2501.984375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9377.59375,2300.75,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9502.671875,2438.09375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9009.359375,2964.390625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9158.875,2955.96875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9469.890625,2298.90625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9036.796875,2875.34375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9288.09375,2312.375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9506.234375,2343.515625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9029.21875,2892.28125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9337.953125,3049.015625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9768.828125,2394.125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9807.296875,2761.609375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9785.09375,3087.8125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9741.796875,2832.609375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9011.1875,2877.046875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9088.96875,2933.578125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9180.421875,3109.921875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9449.84375,2292.109375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9687.234375,2695.515625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9784.671875,3091.578125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9152.671875,2911.5625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9304.78125,2802.40625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9391.671875,2992.40625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9080.40625,3094.640625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9695.796875,2331.4375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9749.203125,2902.90625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9769.265625,2761.625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9175.734375,3032.734375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9743.21875,2287.125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9222.765625,2901.125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9680.390625,2972.484375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9683.375,2985.46875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9747.171875,2481.09375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9070.78125,2920.109375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9325.9375,3044.609375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9029.53125,2909.9375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9237.296875,3030.265625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9362.515625,3090.703125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9810.375,3068.859375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9176.53125,3039.0625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9314.1875,3057.078125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9111.765625,2945.53125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9163.125,2843.5625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9631.640625,3098.40625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9153.59375,3059.234375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9651.78125,3040.140625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9594.3125,2579.625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9190.9375,2942.3125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9073.046875,3069.0,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9288.015625,3121.765625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9538.984375,2956.421875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9169.40625,3119.484375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9005.328125,2874.46875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9242.828125,2937.125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9718.234375,2943.265625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9132.96875,2924.953125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9803.96875,2808.546875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9031.984375,2858.578125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9158.421875,2906.640625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9653.109375,2420.703125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9033.640625,2917.90625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9814.4375,2889.640625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9694.09375,2363.171875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9689.703125,2852.328125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9627.578125,2292.5625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9010.15625,2658.328125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9102.640625,3126.328125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9034.296875,3038.5625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9238.9375,2983.390625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9664.125,2901.703125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9209.015625,3034.703125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9696.21875,3070.765625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9582.453125,2386.078125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9312.796875,3113.984375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9676.125,2518.125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9115.390625,2988.921875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9768.53125,2402.78125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9797.75,2828.390625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9701.65625,2707.4375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9563.640625,2325.96875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9114.8125,2967.578125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9085.046875,2925.46875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9014.109375,2966.453125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9655.6875,2599.078125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9730.046875,2992.703125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9515.0,2733.84375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9717.515625,2461.75,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9169.234375,3095.171875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9174.609375,3117.703125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9224.984375,2916.5,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9707.1875,2749.421875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9019.578125,2899.4375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9459.765625,2620.5625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9626.0,2378.25,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9128.203125,3114.328125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9474.0,2291.828125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9128.65625,2969.59375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9600.59375,2992.53125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9129.390625,3109.9375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9047.671875,2857.0625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9038.921875,3018.53125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9223.8125,2942.296875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9727.40625,2590.953125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9687.59375,2473.390625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9673.203125,2286.609375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9814.609375,2834.84375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9722.9375,2802.046875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9727.125,3065.03125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9167.78125,3098.140625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9336.625,2538.1875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9721.828125,3099.96875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9270.234375,3007.84375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9263.296875,3110.6875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9740.5625,2285.84375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9052.25,3065.0,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9302.046875,3008.921875,9430.09375,2704.296875
