gene,marker_group,unassigned_count,assigned_count,unassigned_fraction,urna_best_cluster,urna_best_sss,urna_best_module,full_best_cluster,full_best_sss,best_cluster_match,sss_spearman_vs_full,urna_module_mean_Tumor,urna_module_mean_Vascular/Stromal,urna_module_mean_Immune,urna_module_mean_Rare epithelial
AGR3,,84845,426749,0.1658444000516034,Basal-like Structured DCIS Cells,0.13501004920169307,Tumor,11q13 Invasive Tumor Cells,0.0674081689315788,False,0.8666666666666667,0.2556983812342475,0.4969935634670152,0.3599068105064257,0.7116700164005644
CDKN1B,,84341,315300,0.2110419101143276,CXCL14+ Fibroblasts,0.140890257570976,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1009363300281496,False,-0.2817354334769128,0.48859502213726186,0.2348311373450616,0.3403898852831109,0.829531674045754
ARF1,,84321,276777,0.2335127860026918,Macrophages,0.14341800219985815,Vascular/Stromal,Basal-like Structured DCIS Cells,0.0999424006842332,False,-0.2817354334769128,0.48439404995091495,0.24803489077879962,0.3388535866614199,0.8281313499836384
AEBP1,,83064,106380,0.4384620257173623,Macrophages,0.07076636850986992,Immune,Macrophages,0.058885794792869,True,0.8265298673046885,0.38807092916253555,0.4016981585794898,0.23715538072906936,0.5989145071587283
DYNLL2,,80960,234015,0.2570362727200571,CXCL14+ Fibroblasts,0.1499523655334219,Vascular/Stromal,Basal-like Structured DCIS Cells,0.0983915002859738,False,-0.2817354334769128,0.48785971544254697,0.2406791368208802,0.340689354963581,0.8292865718141823
CD59,,80566,231329,0.2583112906587153,CXCL14+ Fibroblasts,0.07733181006762321,Vascular/Stromal,Macrophages,0.1428290651163086,False,0.988538681948424,0.4961534141580159,0.19333971807977052,0.3406518241185022,0.832051138052672
MBD2,,80566,253643,0.2410647229727505,Basal-like Structured DCIS Cells,0.10674363378935436,Immune,Basal-like Structured DCIS Cells,0.097096719524069,True,0.6490406876192876,0.38329618045279323,0.4056323953433301,0.2664950891394433,0.5765450980688814
LUM,,80004,81968,0.4939372237176796,Endothelial Cells,0.052748942100906984,Vascular/Stromal,Endothelial Cells,0.0387013079729924,True,0.9995241493901396,0.49215077185346257,0.1923208819124862,0.33760930294710517,0.8307169239511542
ITGB5,,79905,245485,0.2455668582316604,CXCL14+ Fibroblasts,0.09823085332059593,Vascular/Stromal,CXCL14+ Fibroblasts,0.115521606749103,True,0.9999999999999999,0.5037488553602637,0.20339599567560068,0.345473803563718,0.8345829517867546
COL6A2,,79348,110071,0.4189020108859195,Macrophages,0.05583964654742147,Vascular/Stromal,Endothelial Cells,0.0600874176339673,False,0.9871254736748172,0.4871336844781007,0.23349215672647028,0.3257339882850528,0.8290445614927003
SLC39A6,,78988,336009,0.1903339060282363,Basal-like Structured DCIS Cells,0.11930123145102883,Tumor,Basal-like Structured DCIS Cells,0.1490543160925731,True,1.0,0.2611988580834567,0.49504545670964306,0.35779039136618823,0.7064337438170095
