,11q13 Invasive Tumor Cells,11q13 Invasive Tumor Cells (G1/S),11q13 Invasive Tumor Cells (Mitotic),Apocrine Cells,B Cells,Basal-like Structured DCIS Cells,"CAFs, DCIS Associated","CAFs, Invasive Associated",CXCL14+ Fibroblasts,Dendritic Cells,Endothelial Cells,Luminal-like Amorphous DCIS Cells,Macrophages,Mast Cells,Myeloid Cells,Myoepithelial Cells,Pericytes,Plasma Cells,T Lymphocytes
BHLHE40,0.4860283186584748,0.4860283186584748,0.4860283186584748,1.0,0.4860283186584748,0.4860283186584748,0.37805058132081776,0.4860283186584748,0.15240369269660217,0.4860283186584748,0.15240369269660217,1.0,0.14049298164240334,0.21628976035348507,0.17432242323424774,0.37805058132081776,0.15240369269660217,0.37805058132081776,0.4860283186584748
BRD2,0.49450145087920444,0.49450145087920444,0.49450145087920444,1.0,0.49450145087920444,0.49450145087920444,0.36926627665831624,0.49450145087920444,0.10071303554079505,0.49450145087920444,0.10071303554079505,1.0,0.15561169115676457,0.20845035078643884,0.17023513480810307,0.36926627665831624,0.10071303554079505,0.36926627665831624,0.49450145087920444
BRD4,0.4872600831763063,0.4872600831763063,0.4872600831763063,1.0,0.4872600831763063,0.4872600831763063,0.37622953579889107,0.4872600831763063,0.14498980432226133,0.4872600831763063,0.14498980432226133,1.0,0.13248901179131878,0.21407471686552604,0.173737961162985,0.37622953579889107,0.14498980432226133,0.37622953579889107,0.4872600831763063
BRMS1,0.13932676281692882,0.13932676281692882,0.13932676281692882,1.0,0.2569521378015076,0.2569521378015076,0.500144052718978,0.13932676281692882,0.500144052718978,0.2569521378015076,0.500144052718978,1.0,0.500144052718978,0.500144052718978,0.500144052718978,0.500144052718978,0.500144052718978,0.500144052718978,0.2569521378015076
BROX,0.38620272368487263,0.38620272368487263,0.38620272368487263,1.0,0.1638480797801993,0.12151095571503662,0.6217773369379916,0.38620272368487263,0.2577061952189644,0.1638480797801993,0.2577061952189644,0.6217773369379916,0.2577061952189644,0.2577061952189644,0.2577061952189644,0.6217773369379916,0.2577061952189644,0.6217773369379916,0.1638480797801993
BTG2,0.38233589394777334,0.38233589394777334,0.38233589394777334,1.0,0.1513357757458681,0.09616793384359092,0.6232012872370366,0.38233589394777334,0.2626605528435068,0.1513357757458681,0.2626605528435068,0.6232012872370366,0.2626605528435068,0.2626605528435068,0.2626605528435068,0.6232012872370366,0.2626605528435068,0.6232012872370366,0.1513357757458681
C1QA,0.4882169400586662,0.4882169400586662,0.4882169400586662,1.0,0.4882169400586662,0.4882169400586662,0.37814693408603345,0.4882169400586662,0.1493366463875708,0.4882169400586662,0.1493366463875708,1.0,0.042204813327589887,0.21404428779638407,0.17967067900042727,0.37814693408603345,0.1493366463875708,0.37814693408603345,0.4882169400586662
C1R,0.4983254508331549,0.4983254508331549,0.4983254508331549,1.0,0.4983254508331549,0.4983254508331549,0.36615229214530703,0.4983254508331549,0.07766417141660123,0.4983254508331549,0.054640016196530646,1.0,0.1454009619180725,0.20353107473961254,0.1722981678376674,0.36615229214530703,0.06622391754751922,0.36615229214530703,0.4983254508331549
C1orf21,0.5023904123133296,0.5023904123133296,0.5023904123133296,1.0,0.5023904123133296,0.5023904123133296,0.361580968511322,0.5023904123133296,0.06072849357306581,0.5023904123133296,0.07795667221995647,1.0,0.17291050525516868,0.20357817478778023,0.1588938657538718,0.361580968511322,0.07795667221995647,0.361580968511322,0.5023904123133296
C1orf43,0.48981074189252893,0.48981074189252893,0.48981074189252893,1.0,0.48981074189252893,0.48981074189252893,0.3751661745175909,0.48981074189252893,0.14344937945161843,0.48981074189252893,0.14344937945161843,1.0,0.1566348304456213,0.21480345532088188,0.17374283776423344,0.3751661745175909,0.14344937945161843,0.3751661745175909,0.48981074189252893
C3,0.4859707499943236,0.4859707499943236,0.4859707499943236,1.0,0.4859707499943236,0.4859707499943236,0.381222045942851,0.4859707499943236,0.17515146984329752,0.4859707499943236,0.17515146984329752,1.0,0.05205446210002986,0.217270855831791,0.17515146984329752,0.381222045942851,0.17515146984329752,0.381222045942851,0.4859707499943236
CA12,0.2597252080054007,0.2597252080054007,0.2597252080054007,1.0,0.17767217951681988,0.1253508060876658,0.4957666343554733,0.2597252080054007,0.4957666343554733,0.17767217951681988,0.4957666343554733,1.0,0.4957666343554733,0.4957666343554733,0.4957666343554733,0.4957666343554733,0.4957666343554733,0.4957666343554733,0.17767217951681988
CAB39,0.38898105002185224,0.38898105002185224,0.38898105002185224,1.0,0.2574268995534411,0.2574268995534411,0.6209437666802818,0.38898105002185224,0.14835506675239987,0.2574268995534411,0.14835506675239987,0.6209437666802818,0.11113745120898623,0.20375924852678387,0.16535707526840604,0.6209437666802818,0.14835506675239987,0.6209437666802818,0.2574268995534411
CALD1,0.4914509474457043,0.4914509474457043,0.4914509474457043,1.0,0.4914509474457043,0.4914509474457043,0.3711866752820562,0.4914509474457043,0.08433405961365839,0.4914509474457043,0.05276348884937301,1.0,0.13905359584192878,0.20707852019276093,0.1719932906299697,0.3711866752820562,0.08433405961365839,0.3711866752820562,0.4914509474457043
CALM2,0.49059350099304305,0.49059350099304305,0.49059350099304305,1.0,0.49059350099304305,0.49059350099304305,0.37305291460572454,0.49059350099304305,0.1175469748541552,0.49059350099304305,0.1175469748541552,1.0,0.15081265461890775,0.21133882992199132,0.17110923655622776,0.37305291460572454,0.1175469748541552,0.37305291460572454,0.49059350099304305
CAND1,0.5037836696502221,0.5037836696502221,0.5037836696502221,1.0,0.5037836696502221,0.5037836696502221,0.36294818588093064,0.5037836696502221,0.12141429526345741,0.5037836696502221,0.12141429526345741,1.0,0.18133959590738358,0.20763009279080416,0.16547597220091168,0.36294818588093064,0.12141429526345741,0.36294818588093064,0.5037836696502221
CAPN1,0.25677063552747437,0.25677063552747437,0.25677063552747437,1.0,0.1721357573940486,0.126482419446409,0.49615020947715077,0.25677063552747437,0.49615020947715077,0.1721357573940486,0.49615020947715077,1.0,0.49615020947715077,0.49615020947715077,0.49615020947715077,0.49615020947715077,0.49615020947715077,0.49615020947715077,0.1721357573940486
CAPNS1,0.4860909555186103,0.4860909555186103,0.4860909555186103,1.0,0.4860909555186103,0.4860909555186103,0.37831332759196284,0.4860909555186103,0.15405775290719223,0.4860909555186103,0.15405775290719223,1.0,0.14513696079635077,0.21692952412147978,0.1747557383331537,0.37831332759196284,0.15405775290719223,0.37831332759196284,0.4860909555186103
